Gene	Gene.name	Tissue	nTPM	brain_2	brain_1
ENSG00000110079	MS4A4A	choroid plexus	11.9	Brain	Brain
ENSG00000110080	ST3GAL4	amygdala	16.4	Brain	Brain
ENSG00000110090	CPT1A	amygdala	12.5	Brain	Brain
ENSG00000110092	CCND1	amygdala	17.9	Brain	Brain
ENSG00000110104	CCDC86	amygdala	11.5	Brain	Brain
ENSG00000110107	PRPF19	amygdala	68.8	Brain	Brain
ENSG00000110108	TMEM109	amygdala	15.4	Brain	Brain
ENSG00000110148	CCKBR	amygdala	9.1	Brain	Brain
ENSG00000110171	TRIM3	amygdala	6.9	Brain	Brain
ENSG00000110172	CHORDC1	amygdala	23.1	Brain	Brain
ENSG00000110195	FOLR1	choroid plexus	2944.1	Brain	Brain
ENSG00000110200	ANAPC15	amygdala	81.4	Brain	Brain
ENSG00000110218	PANX1	cerebral cortex	10.7	Brain	Brain
ENSG00000110237	ARHGEF17	amygdala	15.9	Brain	Brain
ENSG00000110274	CEP164	basal ganglia	5.5	Brain	Brain
ENSG00000110315	RNF141	amygdala	43.9	Brain	Brain
ENSG00000110318	CEP126	basal ganglia	9.3	Brain	Brain
ENSG00000110321	EIF4G2	amygdala	171.9	Brain	Brain
ENSG00000110324	IL10RA	choroid plexus	8.3	Brain	Brain
ENSG00000110328	GALNT18	amygdala	15.4	Brain	Brain
ENSG00000110330	BIRC2	amygdala	16.7	Brain	Brain
ENSG00000110344	UBE4A	amygdala	7.6	Brain	Brain
ENSG00000110367	DDX6	amygdala	21.6	Brain	Brain
ENSG00000110395	CBL	amygdala	7.1	Brain	Brain
ENSG00000110400	NECTIN1	amygdala	14.5	Brain	Brain
ENSG00000110422	HIPK3	amygdala	10.6	Brain	Brain
ENSG00000110427	KIAA1549L	amygdala	5.5	Brain	Brain
ENSG00000110429	FBXO3	amygdala	20.8	Brain	Brain
ENSG00000110435	PDHX	amygdala	17.6	Brain	Brain
ENSG00000110436	SLC1A2	amygdala	337.3	Brain	Brain
ENSG00000110442	COMMD9	amygdala	32.5	Brain	Brain
