Gene	Gene.name	Tissue	nTPM	brain_2	brain_1
NA	NA	NA	NA	NA	NA
ENSG00000000003	TSPAN6	amygdala	13	Brain	Brain
ENSG00000000419	DPM1	amygdala	21.3	Brain	Brain
ENSG00000000457	SCYL3	choroid plexus	5.5	Brain	Brain
ENSG00000000938	FGR	amygdala	6.3	Brain	Brain
ENSG00000000971	CFH	amygdala	9.4	Brain	Brain
ENSG00000001036	FUCA2	amygdala	12.3	Brain	Brain
ENSG00000001084	GCLC	amygdala	12.3	Brain	Brain
ENSG00000001167	NFYA	amygdala	10.2	Brain	Brain
ENSG00000001460	STPG1	amygdala	6.8	Brain	Brain
ENSG00000001461	NIPAL3	amygdala	36.7	Brain	Brain
ENSG00000001497	LAS1L	amygdala	28.5	Brain	Brain
ENSG00000001561	ENPP4	amygdala	10.7	Brain	Brain
ENSG00000001617	SEMA3F	amygdala	5.8	Brain	Brain
ENSG00000001629	ANKIB1	amygdala	16.8	Brain	Brain
ENSG00000001630	CYP51A1	amygdala	26.9	Brain	Brain
ENSG00000001631	KRIT1	amygdala	5.4	Brain	Brain
ENSG00000002016	RAD52	cerebellum	6.6	Brain	Brain
ENSG00000002330	BAD	amygdala	133.2	Brain	Brain
ENSG00000002549	LAP3	amygdala	37.2	Brain	Brain
ENSG00000002586	CD99	amygdala	131.7	Brain	Brain
ENSG00000002587	HS3ST1	cerebellum	12.3	Brain	Brain
ENSG00000002746	HECW1	cerebral cortex	8	Brain	Brain
ENSG00000002822	MAD1L1	amygdala	9	Brain	Brain
ENSG00000002834	LASP1	amygdala	42.1	Brain	Brain
ENSG00000002919	SNX11	amygdala	13.5	Brain	Brain
ENSG00000002933	TMEM176A	amygdala	36.2	Brain	Brain
ENSG00000003056	M6PR	amygdala	27.9	Brain	Brain
ENSG00000003096	KLHL13	basal ganglia	11.7	Brain	Brain
ENSG00000003137	CYP26B1	amygdala	12.1	Brain	Brain
ENSG00000003147	ICA1	amygdala	11.2	Brain	Brain
ENSG00000003249	DBNDD1	amygdala	54.4	Brain	Brain
ENSG00000003393	ALS2	amygdala	6.7	Brain	Brain
ENSG00000003402	CFLAR	amygdala	19.4	Brain	Brain
ENSG00000003436	TFPI	choroid plexus	5.7	Brain	Brain
ENSG00000003509	NDUFAF7	amygdala	6.2	Brain	Brain
ENSG00000003756	RBM5	amygdala	40.3	Brain	Brain
ENSG00000003987	MTMR7	amygdala	5.7	Brain	Brain
ENSG00000003989	SLC7A2	cerebral cortex	7.1	Brain	Brain
ENSG00000004059	ARF5	amygdala	156.3	Brain	Brain
ENSG00000004139	SARM1	cerebellum	9.1	Brain	Brain
ENSG00000004142	POLDIP2	amygdala	52.2	Brain	Brain
ENSG00000004399	PLXND1	amygdala	18.5	Brain	Brain
ENSG00000004455	AK2	amygdala	37.2	Brain	Brain
ENSG00000004468	CD38	basal ganglia	7	Brain	Brain
ENSG00000004478	FKBP4	amygdala	46.8	Brain	Brain
ENSG00000004487	KDM1A	amygdala	19.5	Brain	Brain
ENSG00000004534	RBM6	amygdala	45.3	Brain	Brain
ENSG00000004660	CAMKK1	amygdala	28.6	Brain	Brain
ENSG00000004700	RECQL	amygdala	5	Brain	Brain
ENSG00000004766	VPS50	amygdala	7.4	Brain	Brain
ENSG00000004776	HSPB6	amygdala	49.1	Brain	Brain
ENSG00000004777	ARHGAP33	amygdala	15.9	Brain	Brain
ENSG00000004779	NDUFAB1	amygdala	138.6	Brain	Brain
ENSG00000004799	PDK4	amygdala	31.3	Brain	Brain
ENSG00000004838	ZMYND10	amygdala	5.8	Brain	Brain
ENSG00000004848	ARX	amygdala	6.2	Brain	Brain
ENSG00000004864	SLC25A13	amygdala	5.1	Brain	Brain
ENSG00000004866	ST7	amygdala	13.6	Brain	Brain
ENSG00000004897	CDC27	amygdala	9.7	Brain	Brain
ENSG00000004961	HCCS	amygdala	8.8	Brain	Brain
ENSG00000004975	DVL2	amygdala	9.5	Brain	Brain
ENSG00000005007	UPF1	amygdala	10.2	Brain	Brain
ENSG00000005020	SKAP2	amygdala	6.8	Brain	Brain
ENSG00000005022	SLC25A5	amygdala	156.5	Brain	Brain
ENSG00000005059	MCUB	choroid plexus	6.9	Brain	Brain
ENSG00000005075	POLR2J	amygdala	89.2	Brain	Brain
ENSG00000005100	DHX33	cerebellum	7.4	Brain	Brain
ENSG00000005156	LIG3	cerebellum	7.9	Brain	Brain
ENSG00000005175	RPAP3	amygdala	6.5	Brain	Brain
ENSG00000005194	CIAPIN1	amygdala	17.7	Brain	Brain
ENSG00000005206	SPPL2B	amygdala	22.3	Brain	Brain
ENSG00000005238	ATOSB	amygdala	19.8	Brain	Brain
ENSG00000005243	COPZ2	amygdala	9.2	Brain	Brain
ENSG00000005249	PRKAR2B	amygdala	18.1	Brain	Brain
ENSG00000005302	MSL3	amygdala	15.3	Brain	Brain
ENSG00000005339	CREBBP	amygdala	7.8	Brain	Brain
ENSG00000005379	TSPOAP1	amygdala	175.9	Brain	Brain
ENSG00000005436	GCFC2	amygdala	9.3	Brain	Brain
ENSG00000005448	WDR54	amygdala	12.6	Brain	Brain
ENSG00000005469	CROT	amygdala	6.1	Brain	Brain
ENSG00000005483	KMT2E	amygdala	12.1	Brain	Brain
ENSG00000005486	RHBDD2	amygdala	224.7	Brain	Brain
ENSG00000005513	SOX8	amygdala	59.7	Brain	Brain
ENSG00000005700	IBTK	cerebellum	7.6	Brain	Brain
ENSG00000005801	ZNF195	amygdala	10.8	Brain	Brain
ENSG00000005810	MYCBP2	amygdala	14.9	Brain	Brain
ENSG00000005812	FBXL3	amygdala	16.2	Brain	Brain
ENSG00000005882	PDK2	amygdala	38.7	Brain	Brain
ENSG00000005884	ITGA3	basal ganglia	5.5	Brain	Brain
ENSG00000005889	ZFX	cerebellum	6.9	Brain	Brain
ENSG00000005893	LAMP2	amygdala	78.6	Brain	Brain
ENSG00000005961	ITGA2B	choroid plexus	6.5	Brain	Brain
ENSG00000006007	GDE1	amygdala	40.3	Brain	Brain
ENSG00000006015	REX1BD	amygdala	77.4	Brain	Brain
ENSG00000006016	CRLF1	amygdala	16.5	Brain	Brain
ENSG00000006025	OSBPL7	amygdala	8.7	Brain	Brain
ENSG00000006042	TMEM98	amygdala	36.2	Brain	Brain
ENSG00000006062	MAP3K14	cerebellum	5.4	Brain	Brain
ENSG00000006071	ABCC8	amygdala	6.5	Brain	Brain
ENSG00000006116	CACNG3	amygdala	25.5	Brain	Brain
ENSG00000006118	TMEM132A	amygdala	106.8	Brain	Brain
ENSG00000006125	AP2B1	amygdala	71	Brain	Brain
ENSG00000006128	TAC1	amygdala	14.8	Brain	Brain
ENSG00000006194	ZNF263	amygdala	10.5	Brain	Brain
ENSG00000006210	CX3CL1	amygdala	32.6	Brain	Brain
ENSG00000006282	SPATA20	amygdala	22.9	Brain	Brain
ENSG00000006283	CACNA1G	cerebellum	20.5	Brain	Brain
ENSG00000006327	TNFRSF12A	amygdala	7.6	Brain	Brain
ENSG00000006377	DLX6	basal ganglia	10.7	Brain	Brain
ENSG00000006432	MAP3K9	cerebellum	5.6	Brain	Brain
ENSG00000006451	RALA	amygdala	25.4	Brain	Brain
ENSG00000006468	ETV1	amygdala	13.5	Brain	Brain
ENSG00000006530	AGK	amygdala	14	Brain	Brain
ENSG00000006534	ALDH3B1	choroid plexus	15	Brain	Brain
ENSG00000006576	PHTF2	cerebellum	7.1	Brain	Brain
ENSG00000006606	CCL26	choroid plexus	47.1	Brain	Brain
ENSG00000006607	FARP2	amygdala	9.5	Brain	Brain
ENSG00000006611	USH1C	basal ganglia	13.2	Brain	Brain
ENSG00000006625	GGCT	amygdala	20.6	Brain	Brain
ENSG00000006652	IFRD1	amygdala	23.3	Brain	Brain
ENSG00000006695	COX10	cerebellum	5.3	Brain	Brain
ENSG00000006704	GTF2IRD1	amygdala	5.5	Brain	Brain
ENSG00000006712	PAF1	amygdala	40.7	Brain	Brain
ENSG00000006715	VPS41	amygdala	21.6	Brain	Brain
ENSG00000006740	ARHGAP44	amygdala	13.3	Brain	Brain
ENSG00000006744	ELAC2	amygdala	14	Brain	Brain
ENSG00000006747	SCIN	midbrain	6.9	Brain	Brain
ENSG00000006756	ARSD	choroid plexus	15.6	Brain	Brain
ENSG00000006757	PNPLA4	amygdala	13.2	Brain	Brain
ENSG00000006831	ADIPOR2	amygdala	45.9	Brain	Brain
ENSG00000007047	MARK4	amygdala	19.5	Brain	Brain
ENSG00000007080	CCDC124	amygdala	126.8	Brain	Brain
ENSG00000007168	PAFAH1B1	amygdala	52.4	Brain	Brain
ENSG00000007174	DNAH9	amygdala	8	Brain	Brain
ENSG00000007202	BLTP2	amygdala	18.6	Brain	Brain
ENSG00000007237	GAS7	amygdala	51.2	Brain	Brain
ENSG00000007255	TRAPPC6A	amygdala	32.7	Brain	Brain
ENSG00000007264	MATK	amygdala	44.2	Brain	Brain
ENSG00000007372	PAX6	amygdala	16.5	Brain	Brain
ENSG00000007376	RPUSD1	amygdala	14.8	Brain	Brain
ENSG00000007384	RHBDF1	amygdala	14.2	Brain	Brain
ENSG00000007392	LUC7L	amygdala	56.3	Brain	Brain
ENSG00000007402	CACNA2D2	basal ganglia	6.4	Brain	Brain
ENSG00000007516	BAIAP3	amygdala	51	Brain	Brain
ENSG00000007520	TSR3	amygdala	63.9	Brain	Brain
ENSG00000007541	PIGQ	amygdala	13.1	Brain	Brain
ENSG00000007545	CRAMP1	amygdala	5.3	Brain	Brain
ENSG00000007908	SELE	choroid plexus	8.4	Brain	Brain
ENSG00000007923	DNAJC11	amygdala	15.8	Brain	Brain
ENSG00000007944	MYLIP	amygdala	9.6	Brain	Brain
ENSG00000008018	PSMB1	amygdala	117.8	Brain	Brain
ENSG00000008056	SYN1	amygdala	154.4	Brain	Brain
ENSG00000008083	JARID2	amygdala	5.2	Brain	Brain
ENSG00000008086	CDKL5	basal ganglia	7.2	Brain	Brain
ENSG00000008118	CAMK1G	amygdala	12.6	Brain	Brain
ENSG00000008128	CDK11A	amygdala	8.2	Brain	Brain
ENSG00000008130	NADK	amygdala	19.3	Brain	Brain
ENSG00000008226	DLEC1	choroid plexus	14.8	Brain	Brain
ENSG00000008256	CYTH3	amygdala	14.3	Brain	Brain
ENSG00000008277	ADAM22	amygdala	8.7	Brain	Brain
ENSG00000008282	SYPL1	amygdala	28.1	Brain	Brain
ENSG00000008283	CYB561	amygdala	15	Brain	Brain
ENSG00000008294	SPAG9	amygdala	40.4	Brain	Brain
ENSG00000008300	CELSR3	cerebellum	15.7	Brain	Brain
ENSG00000008311	AASS	choroid plexus	23.5	Brain	Brain
ENSG00000008324	SS18L2	amygdala	36	Brain	Brain
ENSG00000008382	MPND	amygdala	28	Brain	Brain
ENSG00000008394	MGST1	amygdala	174.7	Brain	Brain
ENSG00000008405	CRY1	amygdala	6.9	Brain	Brain
ENSG00000008441	NFIX	amygdala	58.8	Brain	Brain
ENSG00000008513	ST3GAL1	amygdala	5.9	Brain	Brain
ENSG00000008517	IL32	amygdala	20.7	Brain	Brain
ENSG00000008710	PKD1	amygdala	17.4	Brain	Brain
ENSG00000008735	MAPK8IP2	amygdala	145.3	Brain	Brain
ENSG00000008838	MED24	amygdala	25.3	Brain	Brain
ENSG00000008853	RHOBTB2	amygdala	21.9	Brain	Brain
ENSG00000008869	HEATR5B	amygdala	5.2	Brain	Brain
ENSG00000008952	SEC62	amygdala	81	Brain	Brain
ENSG00000008988	RPS20	amygdala	1283.5	Brain	Brain
ENSG00000009307	CSDE1	amygdala	126.2	Brain	Brain
ENSG00000009335	UBE3C	amygdala	10.5	Brain	Brain
ENSG00000009413	REV3L	cerebral cortex	6.6	Brain	Brain
ENSG00000009694	TENM1	cerebellum	18.5	Brain	Brain
ENSG00000009724	MASP2	cerebellum	8.2	Brain	Brain
ENSG00000009780	FAM76A	amygdala	5	Brain	Brain
ENSG00000009830	POMT2	amygdala	7.6	Brain	Brain
ENSG00000009844	VTA1	amygdala	19	Brain	Brain
ENSG00000009950	MLXIPL	amygdala	6.4	Brain	Brain
ENSG00000009954	BAZ1B	amygdala	18.1	Brain	Brain
ENSG00000010017	RANBP9	amygdala	22	Brain	Brain
ENSG00000010165	METTL13	amygdala	6.3	Brain	Brain
ENSG00000010244	ZNF207	amygdala	39.1	Brain	Brain
ENSG00000010256	UQCRC1	amygdala	39.6	Brain	Brain
ENSG00000010270	STARD3NL	amygdala	37.1	Brain	Brain
ENSG00000010278	CD9	amygdala	124.7	Brain	Brain
ENSG00000010282	HHATL	amygdala	51.6	Brain	Brain
ENSG00000010292	NCAPD2	amygdala	5	Brain	Brain
ENSG00000010295	IFFO1	amygdala	6	Brain	Brain
ENSG00000010319	SEMA3G	amygdala	7.9	Brain	Brain
ENSG00000010322	NISCH	amygdala	49.5	Brain	Brain
ENSG00000010327	STAB1	amygdala	19.9	Brain	Brain
ENSG00000010361	FUZ	amygdala	15.3	Brain	Brain
ENSG00000010379	SLC6A13	amygdala	8	Brain	Brain
ENSG00000010404	IDS	amygdala	317.4	Brain	Brain
ENSG00000010438	PRSS3	amygdala	36.7	Brain	Brain
ENSG00000010610	CD4	amygdala	9.5	Brain	Brain
ENSG00000010626	LRRC23	amygdala	10.5	Brain	Brain
ENSG00000010671	BTK	spinal cord	5.5	Brain	Brain
ENSG00000010704	HFE	choroid plexus	9.7	Brain	Brain
ENSG00000010803	SCMH1	amygdala	9.1	Brain	Brain
ENSG00000010810	FYN	amygdala	109.2	Brain	Brain
ENSG00000010818	HIVEP2	amygdala	8.5	Brain	Brain
ENSG00000011007	ELOA	cerebral cortex	9.2	Brain	Brain
ENSG00000011009	LYPLA2	amygdala	30.2	Brain	Brain
ENSG00000011021	CLCN6	amygdala	16.9	Brain	Brain
ENSG00000011028	MRC2	basal ganglia	8.1	Brain	Brain
ENSG00000011052	NME1-NME2	amygdala	21.5	Brain	Brain
ENSG00000011083	SLC6A7	cerebellum	65.6	Brain	Brain
ENSG00000011105	TSPAN9	amygdala	5.9	Brain	Brain
ENSG00000011132	APBA3	cerebellum	6.8	Brain	Brain
ENSG00000011143	MKS1	amygdala	5.3	Brain	Brain
ENSG00000011198	ABHD5	amygdala	6.1	Brain	Brain
ENSG00000011201	ANOS1	amygdala	6.8	Brain	Brain
ENSG00000011243	AKAP8L	amygdala	32	Brain	Brain
ENSG00000011258	MBTD1	cerebellum	11.7	Brain	Brain
ENSG00000011260	UTP18	amygdala	14.3	Brain	Brain
ENSG00000011275	RNF216	amygdala	10.7	Brain	Brain
ENSG00000011295	TTC19	amygdala	6.7	Brain	Brain
ENSG00000011304	PTBP1	amygdala	26.4	Brain	Brain
ENSG00000011332	DPF1	amygdala	18.8	Brain	Brain
ENSG00000011347	SYT7	amygdala	28	Brain	Brain
ENSG00000011376	LARS2	amygdala	6.9	Brain	Brain
ENSG00000011405	PIK3C2A	amygdala	11.3	Brain	Brain
ENSG00000011422	PLAUR	amygdala	6.1	Brain	Brain
ENSG00000011426	ANLN	amygdala	34.2	Brain	Brain
ENSG00000011451	WIZ	amygdala	21.6	Brain	Brain
ENSG00000011454	RABGAP1	amygdala	27.9	Brain	Brain
ENSG00000011465	DCN	amygdala	26.6	Brain	Brain
ENSG00000011478	QPCTL	amygdala	5.1	Brain	Brain
ENSG00000011485	PPP5C	amygdala	28.3	Brain	Brain
ENSG00000011523	CEP68	amygdala	8.9	Brain	Brain
ENSG00000011566	MAP4K3	amygdala	9.3	Brain	Brain
ENSG00000011600	TYROBP	amygdala	41.3	Brain	Brain
ENSG00000011638	LDAF1	basal ganglia	26	Brain	Brain
ENSG00000011677	GABRA3	amygdala	6.7	Brain	Brain
ENSG00000012061	ERCC1	amygdala	43.9	Brain	Brain
ENSG00000012124	CD22	amygdala	21.6	Brain	Brain
ENSG00000012171	SEMA3B	amygdala	51.7	Brain	Brain
ENSG00000012174	MBTPS2	cerebellum	8.2	Brain	Brain
ENSG00000012223	LTF	choroid plexus	9.1	Brain	Brain
ENSG00000012232	EXTL3	amygdala	9.7	Brain	Brain
ENSG00000012660	ELOVL5	amygdala	43.3	Brain	Brain
ENSG00000012779	ALOX5	cerebellum	26.7	Brain	Brain
ENSG00000012817	KDM5D	amygdala	5.4	Brain	Brain
ENSG00000012822	CALCOCO1	amygdala	53.8	Brain	Brain
ENSG00000012963	UBR7	amygdala	16.3	Brain	Brain
ENSG00000012983	MAP4K5	amygdala	15	Brain	Brain
ENSG00000013016	EHD3	amygdala	28.8	Brain	Brain
ENSG00000013275	PSMC4	amygdala	36.7	Brain	Brain
ENSG00000013288	MAN2B2	amygdala	10.7	Brain	Brain
ENSG00000013293	SLC7A14	basal ganglia	6.2	Brain	Brain
ENSG00000013297	CLDN11	amygdala	47.7	Brain	Brain
ENSG00000013306	SLC25A39	amygdala	54.9	Brain	Brain
ENSG00000013364	MVP	amygdala	19.8	Brain	Brain
ENSG00000013374	NUB1	amygdala	16.9	Brain	Brain
ENSG00000013375	PGM3	amygdala	9.5	Brain	Brain
ENSG00000013392	RWDD2A	basal ganglia	5.1	Brain	Brain
ENSG00000013441	CLK1	amygdala	66	Brain	Brain
ENSG00000013503	POLR3B	cerebral cortex	6.6	Brain	Brain
ENSG00000013523	ANGEL1	amygdala	15.9	Brain	Brain
ENSG00000013561	RNF14	amygdala	33.6	Brain	Brain
ENSG00000013563	DNASE1L1	amygdala	12.2	Brain	Brain
ENSG00000013573	DDX11	cerebellum	8.8	Brain	Brain
ENSG00000013583	HEBP1	amygdala	37.4	Brain	Brain
ENSG00000013619	MAMLD1	amygdala	5.2	Brain	Brain
ENSG00000014123	UFL1	amygdala	10.2	Brain	Brain
ENSG00000014164	ZC3H3	amygdala	7.6	Brain	Brain
ENSG00000014216	CAPN1	amygdala	24.9	Brain	Brain
ENSG00000014641	MDH1	amygdala	173.3	Brain	Brain
ENSG00000014824	SLC30A9	amygdala	14.6	Brain	Brain
ENSG00000014914	MTMR11	choroid plexus	9.3	Brain	Brain
ENSG00000014919	COX15	amygdala	14.9	Brain	Brain
ENSG00000015133	CCDC88C	basal ganglia	10.9	Brain	Brain
ENSG00000015153	YAF2	amygdala	14.5	Brain	Brain
ENSG00000015171	ZMYND11	amygdala	59.4	Brain	Brain
ENSG00000015285	WAS	choroid plexus	10.7	Brain	Brain
ENSG00000015475	BID	amygdala	20.6	Brain	Brain
ENSG00000015479	MATR3	amygdala	163.3	Brain	Brain
ENSG00000015532	XYLT2	amygdala	5.2	Brain	Brain
ENSG00000015568	RGPD5	cerebellum	5.1	Brain	Brain
ENSG00000015592	STMN4	amygdala	158.2	Brain	Brain
ENSG00000015676	NUDCD3	amygdala	7.6	Brain	Brain
ENSG00000016082	ISL1	hypothalamus	5.1	Brain	Brain
ENSG00000016391	CHDH	amygdala	9.6	Brain	Brain
ENSG00000016402	IL20RA	choroid plexus	6.1	Brain	Brain
ENSG00000016602	CLCA4	hippocampal formation	6.4	Brain	Brain
ENSG00000016864	GLT8D1	amygdala	24	Brain	Brain
ENSG00000017260	ATP2C1	amygdala	32.8	Brain	Brain
ENSG00000017483	SLC38A5	amygdala	17.4	Brain	Brain
ENSG00000017797	RALBP1	amygdala	30	Brain	Brain
ENSG00000018189	RUFY3	amygdala	54.5	Brain	Brain
ENSG00000018236	CNTN1	amygdala	65.7	Brain	Brain
ENSG00000018280	SLC11A1	choroid plexus	35.3	Brain	Brain
ENSG00000018408	WWTR1	amygdala	13.4	Brain	Brain
ENSG00000018510	AGPS	cerebellum	5.1	Brain	Brain
ENSG00000018610	STEEP1	amygdala	10.8	Brain	Brain
ENSG00000018625	ATP1A2	amygdala	416.7	Brain	Brain
ENSG00000018869	ZNF582	basal ganglia	5.2	Brain	Brain
ENSG00000019144	PHLDB1	amygdala	27.7	Brain	Brain
ENSG00000019169	MARCO	choroid plexus	10.7	Brain	Brain
ENSG00000019485	PRDM11	amygdala	6	Brain	Brain
ENSG00000019505	SYT13	amygdala	21.8	Brain	Brain
ENSG00000019549	SNAI2	cerebellum	5.8	Brain	Brain
ENSG00000019582	CD74	amygdala	328.7	Brain	Brain
ENSG00000019995	ZRANB1	amygdala	10	Brain	Brain
ENSG00000020129	NCDN	amygdala	209.1	Brain	Brain
ENSG00000020181	ADGRA2	basal ganglia	5.6	Brain	Brain
ENSG00000020256	ZFP64	cerebral cortex	6	Brain	Brain
ENSG00000020426	MNAT1	amygdala	19.5	Brain	Brain
ENSG00000020577	SAMD4A	amygdala	16.6	Brain	Brain
ENSG00000020922	MRE11	cerebellum	5.4	Brain	Brain
ENSG00000021300	PLEKHB1	amygdala	986.8	Brain	Brain
ENSG00000021355	SERPINB1	amygdala	9.6	Brain	Brain
ENSG00000021574	SPAST	amygdala	7.9	Brain	Brain
ENSG00000021645	NRXN3	amygdala	14.9	Brain	Brain
ENSG00000021762	OSBPL5	amygdala	6.5	Brain	Brain
ENSG00000021776	AQR	cerebellum	6.1	Brain	Brain
ENSG00000021826	CPS1	midbrain	7.3	Brain	Brain
ENSG00000022267	FHL1	amygdala	129.4	Brain	Brain
ENSG00000022277	RTF2	amygdala	97	Brain	Brain
ENSG00000022355	GABRA1	amygdala	8.2	Brain	Brain
ENSG00000022567	SLC45A4	cerebellum	6.3	Brain	Brain
ENSG00000022840	RNF10	amygdala	82.4	Brain	Brain
ENSG00000022976	ZNF839	amygdala	5.8	Brain	Brain
ENSG00000023041	ZDHHC6	amygdala	14.5	Brain	Brain
ENSG00000023171	GRAMD1B	amygdala	19.3	Brain	Brain
ENSG00000023191	RNH1	amygdala	64.9	Brain	Brain
ENSG00000023228	NDUFS1	amygdala	24.1	Brain	Brain
ENSG00000023287	RB1CC1	amygdala	34.7	Brain	Brain
ENSG00000023318	ERP44	amygdala	6.7	Brain	Brain
ENSG00000023330	ALAS1	amygdala	19.6	Brain	Brain
ENSG00000023445	BIRC3	choroid plexus	5.6	Brain	Brain
ENSG00000023516	AKAP11	amygdala	15.1	Brain	Brain
ENSG00000023572	GLRX2	amygdala	16.1	Brain	Brain
ENSG00000023697	DERA	amygdala	12.9	Brain	Brain
ENSG00000023734	STRAP	amygdala	52.7	Brain	Brain
ENSG00000023892	DEF6	midbrain	6.2	Brain	Brain
ENSG00000023902	PLEKHO1	amygdala	40.9	Brain	Brain
ENSG00000023909	GCLM	cerebral cortex	6.5	Brain	Brain
ENSG00000024048	UBR2	amygdala	6.1	Brain	Brain
ENSG00000024422	EHD2	amygdala	15	Brain	Brain
ENSG00000024862	CCDC28A	amygdala	35.4	Brain	Brain
ENSG00000025039	RRAGD	amygdala	10.6	Brain	Brain
ENSG00000025156	HSF2	amygdala	8.5	Brain	Brain
ENSG00000025293	PHF20	amygdala	7.5	Brain	Brain
ENSG00000025423	HSD17B6	amygdala	21.8	Brain	Brain
ENSG00000025434	NR1H3	amygdala	7.8	Brain	Brain
ENSG00000025708	TYMP	amygdala	7	Brain	Brain
ENSG00000025770	NCAPH2	amygdala	30.5	Brain	Brain
ENSG00000025772	TOMM34	amygdala	33.5	Brain	Brain
ENSG00000025796	SEC63	amygdala	12.3	Brain	Brain
ENSG00000025800	KPNA6	amygdala	10.2	Brain	Brain
ENSG00000026025	VIM	amygdala	412.3	Brain	Brain
ENSG00000026297	RNASET2	amygdala	46.2	Brain	Brain
ENSG00000026508	CD44	amygdala	13.1	Brain	Brain
ENSG00000026559	KCNG1	amygdala	10.9	Brain	Brain
ENSG00000026652	AGPAT4	amygdala	10.9	Brain	Brain
ENSG00000026950	BTN3A1	amygdala	7.2	Brain	Brain
ENSG00000027001	MIPEP	choroid plexus	19.5	Brain	Brain
ENSG00000027075	PRKCH	amygdala	5.8	Brain	Brain
ENSG00000027697	IFNGR1	amygdala	39.7	Brain	Brain
ENSG00000027847	B4GALT7	amygdala	20.4	Brain	Brain
ENSG00000027869	SH2D2A	choroid plexus	6.4	Brain	Brain
ENSG00000028116	VRK2	amygdala	6.3	Brain	Brain
ENSG00000028137	TNFRSF1B	cerebral cortex	7	Brain	Brain
ENSG00000028203	VEZT	cerebellum	5.4	Brain	Brain
ENSG00000028277	POU2F2	cerebellum	14.6	Brain	Brain
ENSG00000028310	BRD9	amygdala	5.2	Brain	Brain
ENSG00000028528	SNX1	amygdala	29.3	Brain	Brain
ENSG00000028839	TBPL1	amygdala	12.9	Brain	Brain
ENSG00000029363	BCLAF1	amygdala	15.5	Brain	Brain
ENSG00000029364	SLC39A9	amygdala	18	Brain	Brain
ENSG00000029534	ANK1	cerebellum	48.8	Brain	Brain
ENSG00000029639	TFB1M	basal ganglia	5	Brain	Brain
ENSG00000029725	RABEP1	amygdala	38.4	Brain	Brain
ENSG00000029993	HMGB3	amygdala	17.9	Brain	Brain
ENSG00000030066	NUP160	cerebellum	10.6	Brain	Brain
ENSG00000030110	BAK1	amygdala	6.8	Brain	Brain
ENSG00000030582	GRN	amygdala	35.7	Brain	Brain
ENSG00000031003	FAM13B	amygdala	11.2	Brain	Brain
ENSG00000031081	ARHGAP31	cerebral cortex	8.4	Brain	Brain
ENSG00000031691	CENPQ	cerebral cortex	5.3	Brain	Brain
ENSG00000031698	SARS1	amygdala	75.3	Brain	Brain
ENSG00000031823	RANBP3	amygdala	29.5	Brain	Brain
ENSG00000032219	ARID4A	amygdala	5.9	Brain	Brain
ENSG00000032389	EIPR1	amygdala	25.3	Brain	Brain
ENSG00000032444	PNPLA6	amygdala	25.5	Brain	Brain
ENSG00000032742	IFT88	amygdala	7.2	Brain	Brain
ENSG00000033011	ALG1	amygdala	7.4	Brain	Brain
ENSG00000033030	ZCCHC8	cerebellum	12.3	Brain	Brain
ENSG00000033050	ABCF2	amygdala	15.9	Brain	Brain
ENSG00000033100	CHPF2	amygdala	7.5	Brain	Brain
ENSG00000033122	LRRC7	amygdala	5.4	Brain	Brain
ENSG00000033170	FUT8	amygdala	14	Brain	Brain
ENSG00000033178	UBA6	cerebellum	8.2	Brain	Brain
ENSG00000033327	GAB2	amygdala	47.6	Brain	Brain
ENSG00000033627	ATP6V0A1	amygdala	28.7	Brain	Brain
ENSG00000033800	PIAS1	amygdala	5.6	Brain	Brain
ENSG00000034053	APBA2	amygdala	46.8	Brain	Brain
ENSG00000034152	MAP2K3	amygdala	10.4	Brain	Brain
ENSG00000034239	CLXN	amygdala	7	Brain	Brain
ENSG00000034510	TMSB10	amygdala	2560.4	Brain	Brain
ENSG00000034677	RNF19A	amygdala	16.8	Brain	Brain
ENSG00000034693	PEX3	amygdala	7.1	Brain	Brain
ENSG00000034713	GABARAPL2	amygdala	336.1	Brain	Brain
ENSG00000035115	SH3YL1	amygdala	23.4	Brain	Brain
ENSG00000035141	FAM136A	amygdala	15.2	Brain	Brain
ENSG00000035403	VCL	amygdala	7.4	Brain	Brain
ENSG00000035664	DAPK2	hippocampal formation	5.3	Brain	Brain
ENSG00000035681	NSMAF	amygdala	7.5	Brain	Brain
ENSG00000035687	ADSS2	amygdala	18.9	Brain	Brain
ENSG00000035862	TIMP2	amygdala	136.9	Brain	Brain
ENSG00000035928	RFC1	amygdala	11.5	Brain	Brain
ENSG00000036054	TBC1D23	cerebellum	7.2	Brain	Brain
ENSG00000036257	CUL3	amygdala	13.1	Brain	Brain
ENSG00000036530	CYP46A1	amygdala	51.8	Brain	Brain
ENSG00000036549	ZZZ3	cerebral cortex	8.7	Brain	Brain
ENSG00000036672	USP2	amygdala	11.3	Brain	Brain
ENSG00000037042	TUBG2	amygdala	94.6	Brain	Brain
ENSG00000037241	RPL26L1	amygdala	33.5	Brain	Brain
ENSG00000037280	FLT4	basal ganglia	7.2	Brain	Brain
ENSG00000037474	NSUN2	amygdala	6.5	Brain	Brain
ENSG00000037637	FBXO42	amygdala	9.5	Brain	Brain
ENSG00000037749	MFAP3	cerebellum	6.2	Brain	Brain
ENSG00000037757	MRI1	amygdala	10.5	Brain	Brain
